	15C	15H	26C	26H	27C	27H	28C	28H	29C	29H	2C	2H	4C	4H	
isogroupTR101651_c1_g2	0	4	0	0	0	2	0	0	0	2	3	0	0	1	
isogroupTR101651_c2_g1	161	80	204	61	68	124	77	93	32	75	208	182	102	61	
isogroupTR101651_c2_g2	2	1	2	1	2	8	3	2	4	2	3	3	0	2	
isogroupTR101652_c3_g1	3	1	8	0	2	1	2	0	4	4	4	4	5	4	
isogroupTR101654_c5_g1	15	2	8	8	11	6	6	1	29	20	30	5	21	17	
isogroupTR101655_c2_g1	106	54	168	54	74	106	75	41	23	79	133	84	157	78	
isogroupTR101658_c4_g3	0	0	9	6	3	19	1	1	0	0	1	0	2	7	
isogroupTR101658_c5_g3	3	13	11	13	6	35	5	6	1	3	3	4	10	23	
isogroupTR101658_c5_g4	1	1	0	0	0	0	0	0	0	0	2	2	1	0	
isogroupTR101659_c2_g1	14	10	41	8	5	3	16	3	8	3	8	12	19	15	
isogroupTR101660_c1_g2	2	2	4	4	0	4	3	3	1	4	3	1	2	8	
isogroupTR101660_c1_g3	43	33	55	47	16	55	33	22	32	41	101	41	48	47	
isogroupTR101663_c1_g1	11	11	62	18	27	19	19	12	9	20	23	17	31	21	
isogroupTR101663_c2_g1	28	11	26	10	5	4	11	11	8	25	22	22	9	5	
isogroupTR101663_c2_g2	5	2	6	3	4	6	5	6	0	2	8	9	6	15	
isogroupTR101663_c2_g3	91	67	135	72	71	81	66	39	56	69	129	103	102	95	
isogroupTR101664_c3_g1	50	28	125	45	50	65	37	68	12	71	63	82	51	47	
isogroupTR101664_c4_g2	1	0	2	3	2	0	1	1	0	1	3	3	2	1	
isogroupTR101665_c0_g1	18	16	28	20	20	20	39	27	8	14	35	30	66	33	
isogroupTR101666_c2_g2	16	10	34	14	12	23	13	9	13	11	34	19	13	14	
isogroupTR101667_c0_g3	0	2	2	3	1	3	2	1	1	1	6	3	4	1	
isogroupTR101669_c1_g1	0	0	1	1	1	5	1	6	0	0	6	2	0	0	
isogroupTR101669_c1_g4	0	0	8	4	11	27	2	3	0	0	20	7	4	2	
isogroupTR101669_c2_g1	0	1	30	16	69	242	9	33	3	54	399	196	8	20	
isogroupTR101670_c2_g1	72	36	128	30	55	51	40	23	31	52	97	72	83	50	
isogroupTR101671_c1_g1	0	1	0	0	2	0	0	0	2	0	1	1	0	2	
isogroupTR101671_c2_g4	3	5	9	2	10	2	3	1	3	8	4	7	5	3	
isogroupTR101672_c0_g1	36	25	71	32	47	65	43	29	32	43	63	72	60	52	
isogroupTR101673_c3_g1	0	0	0	0	0	1	3	2	0	0	0	1	0	0	
isogroupTR101674_c8_g1	6	3	30	17	18	18	15	10	5	8	21	7	22	10	
isogroupTR101674_c9_g1	67	128	188	160	165	96	183	62	213	75	232	241	111	189	
isogroupTR101676_c1_g3	24	21	46	27	37	29	32	32	20	27	41	40	60	46	
isogroupTR101677_c16_g1	1	0	1	0	1	4	0	0	1	0	1	0	0	0	
isogroupTR101677_c22_g1	206	67	208	63	47	225	41	81	94	146	254	155	86	86	
isogroupTR101677_c23_g3	68	101	221	153	254	410	125	91	151	82	187	188	129	173	
isogroupTR101678_c0_g2	4	12	8	5	3	6	4	1	10	5	1	2	4	4	
isogroupTR101679_c2_g1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	
isogroupTR101679_c3_g2	0	0	1	1	1	0	1	0	0	1	3	1	2	1	
isogroupTR101680_c11_g1	281	99	499	138	193	163	158	105	72	141	299	173	193	168	
isogroupTR101685_c7_g1	0	1	0	0	0	1	0	1	0	0	0	0	0	2	
isogroupTR101685_c7_g2	1	0	2	2	0	0	0	0	0	1	0	0	0	0	
isogroupTR101685_c8_g5	14	8	42	9	16	3	10	10	6	13	18	15	8	9	
isogroupTR101686_c0_g3	0	0	0	1	0	0	0	0	0	0	1	2	1	0	
isogroupTR101687_c0_g1	105	38	208	54	61	104	71	25	48	60	108	96	67	56	
isogroupTR101688_c4_g1	20	12	28	18	5	8	15	14	8	19	22	27	20	18	
isogroupTR101690_c2_g1	0	1	4	0	6	4	1	0	0	2	14	10	2	0	
isogroupTR101690_c4_g1	1	0	17	4	5	2	6	4	0	0	19	17	9	9	
isogroupTR101690_c4_g5	0	0	0	0	1	0	2	0	0	0	0	0	0	0	
isogroupTR101691_c4_g1	948	579	1140	424	369	523	636	473	315	559	836	518	742	423	
isogroupTR101693_c0_g1	111	66	219	44	85	50	75	33	26	68	78	72	140	89	
isogroupTR101694_c4_g1	144	77	179	73	103	143	67	78	77	96	200	194	118	93	
isogroupTR101694_c5_g2	115	52	86	57	42	74	54	50	24	51	188	93	72	80	
isogroupTR101695_c0_g1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	
isogroupTR101695_c4_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR101695_c5_g1	59	36	100	55	61	93	52	84	23	43	101	133	68	52	
isogroupTR101695_c6_g1	0	0	20	16	1	1	6	9	1	1	7	6	5	6	
isogroupTR101697_c0_g1	290	182	464	176	229	150	171	76	134	218	491	253	329	230	
isogroupTR101698_c4_g1	60	11	46	8	2	1	19	20	2	9	92	37	7	7	
isogroupTR101698_c5_g1	4	1	10	9	1	9	6	1	3	2	6	6	1	6	
